tipologia;autore_saggio;precisazione_ autore;titolo_saggio;autore_curatore_volume;precisazione_curatore;titolo_volume;luogo;editore;anno;volumi;rivista;annata;fascicolo;pagine
articolo in volume miscellaneo;Del Negro, Piero;;Università del principe e Università dei Collegi;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;23-30
articolo in volume miscellaneo;Dhombres, Jean;;La réception en France de Galilée. Les rôles différents de Peiresc et de Mersenne auprès de Gassandi, de Descartes et de Jacques Le Tenneur;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;47-60
articolo in volume miscellaneo;Fiocca, Alessandra;;Galileiani e Gesuiti a Ferrara nel Seicento;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;293-309
articolo in volume miscellaneo;Gavagna, Veronica;;Paolo Casati e la scuola galileiana;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;311-326
articolo in volume miscellaneo;Giusti, Enrico;;Galileo all'origine delle ricerche della scuola galileiana;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;7-22
articolo in volume miscellaneo;Gómez, Susana;;Dopo Borelli: la scuola gaalileiana a Pisa;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;223-232
articolo in volume miscellaneo;Knobloch, Eberhard;;Galileo and German thinkers: Leibniz;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;127-139
articolo in volume miscellaneo;Lines, David A.;;The University of the Artists in Bologna, 1586-1713;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;141-153
articolo in volume miscellaneo;Mercanti, Fabio;;Giovanni Ceva tra Pisa e la Lombardia;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;233-248
articolo in volume miscellaneo;Navarro Brótons, Victor;;Filosofia natural y disciplinas matemáticas en la España del siglo XVII. Influencia y reception de Galileo;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;89-106
articolo in volume miscellaneo;Novarese, Daniela;;Potere politico, relazioni personali e cultura scientifica: i “galileiani” a Messina;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;249-261
articolo in volume miscellaneo;Palmerino, Carla Rita;;La fortuna della scienza galileiana nelle Province Unite;Pepe, Luigi;a cura di;Galileo e la scuola galileiana nelle Università del Seicento;Bologna;Clueb;2011;;;;;61-79
